Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	WindowSensor_OpenDuringAwayModeExitDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	WindowSensor_OpenAfterAwayModeExitDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	WindowSensor_OpenDuringNightModeExitDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	WindowSensor_OpenAfterNightModeExitDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	WindowSensor_TamperDuringAwayModeExitDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	WindowSensor_TamperDuringNightModeExitDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	WindowSensor_TamperAfterAwayModeExitDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	WindowSensor_TamperAfterNightModeExitDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_InAwayExitDelay_OpenDoor_NoAlarm		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToHomeFromPushNotification_DoorNotClosedInEntryDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToHomeFromEntryDelay_DoorNotClosedInEntryDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToHomeFromPushNotification_DoorClosedInEntryDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToHomeFromEntryDelay_DoorClosedInEntryDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToNightFromPushNotification_DoorClosedInEntryDelay_NoAlarm		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToNightFromEntryDelay_DoorClosedInEntryDelay_NoAlarm		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToNightFromPushNotification_DoorNotClosedInEntryDelay_Alarm		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToNightFromEntryDelay_DoorNotClosedInEntryDelay_Alarm		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToNightFromPushNotification_DoorClosedInWaiting_NoAlarm		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_SwitchingToNightFromEntryDelay_DoorClosedInEntryDelay_NoAlarm		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_AttentionInEntryDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmedAway_OpenDoor_AlarmWhenNoActionInEntryDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmingAway_ExitError_SwitchingToHomeInEntryDelay		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doorsensor_ArmingAway_ExitError_SwitchingToNightFromEntryDelay_DoorNotClosedInEntryDelay_Alarm		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
