Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	Attention_FromCamera		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
NO	Attention_FromCamera		Android-Device-Android-6.0	Sony	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	AwayMode_doorsensor_NoAlarmInExitDelay_EntryDelayAfterExitDelay_SwitchingToHome_SwitchToNight		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	AwayMode_doorsensorOpenAfterExitDelay_Switchtonight_DoorNotClosedAlarm_ClosedDoorNoAlarm_FromEntryDelayScreen		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	AwayMode_doorsensorOpenAfterExitDelay_AttentionAlarmFromEntryDelay_AlarmWhenNoActionTaken		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	NightMode_doorsensorOpenAfterExitDelay_Switchtonight_DoorNotClosedAlarm_ClosedDoorNoAlarm_FromEntryDelayScreen		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	NightMode_doorsensor_NoAlarmInExitDelay_EntryDelayAfterExitDelay_SwitchingToHome_SwitchToNight		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	NightMode_doorsensorOpenAfterExitDelay_AttentionAlarmFromEntryDelay_AlarmWhenNoActionTaken		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	AwayMode_windowsensorOpenDuringExitDelay_OpenAfterExitDelay_and_NightMode_windowsensorOpenDuringExitDelay_OpenAfterExitDelay		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	DoorsensorOpenAfterExitDelay_windowopen		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	DoorsensorOpenInExitDelay_windowopen		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Motionsensor_Switchtohome_Switchtonight_Attention_Alarm		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	AwayMode_MotionDetectedWindowOpenDoorOpen_WindowOpenMotionDetectedDoorOpen		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	NightMode_Dooropen_MotionsensorAfterExitDelay_windowopen		IOS-Device-IOS-10.3	51cfbbe9534717d79988a76004b2627ef92ffe39	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	ZwaveOperations_Alarm		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
	Doortamper		IOS-Device-IOS-10.3	58d1d5b980b5dc7dd8ddbedc2949c6bba86e4bd1	Local	ChilDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DEVICE1_DOORSENSOR1=Front Door,LOCATION1_DEVICE1_WINDOWSENSOR1=Kitchen Window,LOCATION1_DEVICE1_MOTIONSENSOR1=Living Room'"
