Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	VerifyJasperNASettings		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=platform2@grr.la,PASSWORD=Password00,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Jasper NA'"
NO	VerifyJasperNASettings		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=platform2@grr.la,PASSWORD=Password00,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Jasper NA'"
	VerifyJasperNAEMEASpruceSettings		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=prod3_emea@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=AB13B5'"
NO	VerifyJasperNAEMEASpruceSettings		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=prod3_emea@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=AB13B5'"
	VerifyHBBSettings		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=hb_1@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 4339'"
NO	VerifyHBBSettings		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=hb_1@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 4339'"
	ChangeAlertForThisRangeforTemperature		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=prod4_na@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=AUSAB705B'"
NO	ChangeAlertForThisRangeforTemperature		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=prod4_na@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=AUSAB705B'"
	ChangeAlertForThisRangeforHumidity		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=hb_1@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 4339'"
NO	ChangeAlertForThisRangeforHumidity		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=hb_1@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 4339'"
