Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	DASDIYWhatToExpectScreen		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYCancelSetUp		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationWhenExistingLocationAndBaseStationNamesAreEntered		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYWhenUserEntersMaxCharactersInCustomLocationAndBaseStationName		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationWithNewCustomLocationAndBaseStationName		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationWithAvailableDefaultLocationAndBaseStationName		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev1@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYWhenNoBaseStationsAreAvailable		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYWhenQRCodeIsNotScannedAndThenScanned		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYWhenInvalidQRCodeIsScannedFirstAndThenScanAValidQRCode		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYCancelInRegisterBaseStation		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYCancelSetUpInConnectToNetworkScreen		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationByMinimizingAndMaximizingTheApp		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYCancelAddANetworkAndTryConnectingWithAvailableNetwork		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationWhenSingleBaseStationIsAvailable		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationWithSkipGeoFenceAndSetUpAlexa		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationWithGeoFenceEnabledAndSetUpAlexa		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationWhenFirmwareIsNotUpToDate		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
	DIYRegistrationWithInvalidNetworkPwdAndTryReconnectingWithValidPwd		Android-Device-Android-6.0.1	Lenovo X3a40	Local	CHIL Int (Azure)	"AcquisitionType=Specific, TestData='USERID=dasdev@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,ANDROID_UDID=f1625af6'"
