Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DASDIYWhatToExpectScreen		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYCancelSetUp		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWhenExistingLocationAndBaseStationNamesAreEntered		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYWhenUserEntersMaxCharactersInCustomLocationAndBaseStationName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithNewCustomLocationAndBaseStationName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithAvailableDefaultLocationAndBaseStationName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYWhenNoBaseStationsAreAvailable		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYWhenQRCodeIsNotScannedAndThenScanned		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYWhenInvalidQRCodeIsScannedFirstAndThenScanAValidQRCode		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYCancelInRegisterBaseStation		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYCancelSetUpInConnectToNetworkScreen		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationByMinimizingAndMaximizingTheApp		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYCancelAddANetworkAndTryConnectingWithAvailableNetwork		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWhenSingleBaseStationIsAvailable		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithSkipGeoFenceAndSetUpAlexa		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithGeoFenceEnabledAndSetUpAlexa		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWhenFirmwareIsNotUpToDate		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithInvalidNetworkPwdAndTryReconnectingWithValidPwd		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYAddAWiFiNetworkWithInvalidPwdAndTryReconnectingWithAvailableNetwork		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYTryToReRegisterDAS		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYDeleteExistingDASAndRegisterIt		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DASDIYConfigurationVerifyBackArrowFunctionality		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYCancelInSelectBaseStationsListScreen		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYMultipleDASRegistrationsForTheSameAccount		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithAccessSensorEnrollmentWithDefaultName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithAccessSensorEnrollmentWithCustomName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationByCancellingAccessSensorEnrollmentAndSkipGeofencingAndEnableAlexa		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithMotionViewerEnrollmentWithDefaultSensorName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
	DIYRegistrationWithMotionViewerEnrollmentWithCustomSensorName		IOS-Device-IOS-11.4	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Chil Das (QA)	"AcquisitionType=Specific, TestData='USERID=katanaqa@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Living Room,LOCATION1_DEVICE1_NAME=Security'"
