Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	GeneralGlobalDrawerWithoutSolutionVerificationForUKLocation		Android-Device-Android-6.0.0	Nexus 5	Local	CHILStage(Azure)	"AcquisitionType=Specific, TestData='USERID=eeee@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithoutSolutionVerificationForUSLocation		Android-Device-Android-6.0.0	Nexus 5	Local	CHILStage(Azure)	"AcquisitionType=Specific, TestData='USERID=eee@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithWLDSolutionVerificationForUKLocation		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=setupmywld@gmail.com,PASSWORD=Massword1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithWLDSolutionVerificationForUSLocation		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=location@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithSolutionForDASC1C2VerificationForUKLocation		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=das_stage4@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithSolutionForDASC1C2VerificationForUSLocation		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=das_stage4@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithSolutionForJASPEREMEAVerificationForUKLocation		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperemea_1@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithSolutionForJASPERNAVerificationForUSLocation		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=prod7_na@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithoutSolutionActivityHistoryNoMsgsLabel		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=das_stage7@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerWithSolutionActivityHistoryDeleteAMessage		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperemea_1@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GenralGlobalDrawerWithSolutionActivityHistoryDeleteAllMessages		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=unit@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GenralGlobalDrawerAddDeleteUsersFromInviteList		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=das_stage7@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerInviteUserWithLoggedInUserEmail		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=das_stage7@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
	GeneralGlobalDrawerInviteUserWithAlreadyInvitiedUsersEmail		Android-Device-Android-6.0.0	Nexus 5	Local	Production	"AcquisitionType=Specific, TestData='USERID=das_stage7@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security'"
