Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
No	Login		IOS-Simulator-IOS-9.1	iPad 2	Local	Stage	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
Yes	Login		Android-Device-Android-8.0	01209c39e398b1ad	Local	Production	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
No	CreateSchedule		IOS-Simulator-IOS-10.0	iPhone 6	Local	Dogfooding	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
Yes	EditNAGeofencescheduleWithSleepsettings		Android-Device-Android-8.0	01209c39e398b1ad	Local	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofencescheduleWithSleepsettings		IOS-Device-IOS-11.3	c85d7cb996a05d26abb89c93df86d62af5486f1f	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperna_1@grr.la,PASSWORD=Password1,PASSCODE=2580,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6289'"
Yes	EditNAGeofenceschedulevalueWithoutsleepsettings		Android-Device-Android-8.0	01209c39e398b1ad	Local	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofenceschedulevalueWithoutsleepsettings		IOS-Device-IOS-11.3	c85d7cb996a05d26abb89c93df86d62af5486f1f	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperna_1@grr.la,PASSWORD=Password1,PASSCODE=2580,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6289'"
Yes	EditNAGeofenceschedulevaluesleepsettings		Android-Device-Android-8.0	01209c39e398b1ad	Local	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofenceschedulevaluesleepsettings		IOS-Device-IOS-11.3	c85d7cb996a05d26abb89c93df86d62af5486f1f	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperna_1@grr.la,PASSWORD=Password1,PASSCODE=2580,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6289'"
Yes	EditNAGeofencescheduleTemperatureRange		Android-Device-Android-8.0	01209c39e398b1ad	Local	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofencescheduleTemperatureRange		IOS-Device-IOS-11.3	c85d7cb996a05d26abb89c93df86d62af5486f1f	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperna_1@grr.la,PASSWORD=Password1,PASSCODE=2580,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6289'"
