Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
No	Login		IOS-Simulator-IOS-9.1	iPad 2	Local	Stage	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
No	Login		Android-Device-Android-4.4	Samsung Galaxy S5	Local	Stage	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
No	CreateSchedule		IOS-Simulator-IOS-10.0	iPhone 6	Local	Dogfooding	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
No	EditNAGeofencescheduleWithSleepsettings		Android-Device-Android-5.0	Samsung Galaxy S5	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofencescheduleWithSleepsettings		IOS-Device-IOS-11.3	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperna_1@grr.la,PASSWORD=Password1,PASSCODE=2580,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6289'"
No	EditNAGeofenceschedulevalueWithoutsleepsettings		Android-Device-Android-5.0	Samsung Galaxy S5	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofenceschedulevalueWithoutsleepsettings		IOS-Device-IOS-11.3	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperna_1@grr.la,PASSWORD=Password1,PASSCODE=2580,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6289'"
No	EditNAGeofenceschedulevaluesleepsettings		Android-Device-Android-5.0	Samsung Galaxy S5	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofenceschedulevaluesleepsettings		IOS-Device-IOS-11.3	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperna_1@grr.la,PASSWORD=Password1,PASSCODE=2580,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6289'"
No	EditNAGeofencescheduleTemperatureRange		Android-Device-Android-5.0	Samsung Galaxy S5	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofencescheduleTemperatureRange		IOS-Device-IOS-11.3	4eb9d3d4b4802da459bf1827fef91109c877733b	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasperna_1@grr.la,PASSWORD=Password1,PASSCODE=2580,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6289'"
No	EditNAGeofencescheduleSinglestatTemperatureAutochangeoverEnabled		Android-Device-Android-5.0	Samsung Galaxy S5	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
