Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	Vacations_VerifyStartAndEndDate		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
No	Vacations_VerifyStartAndEndDate		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
	Vacations_VerifyGuideMessage		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
No	Vacations_VerifyGuideMessage		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
No	Vacations_MinimumBandwidthTimer		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
	Vacations_MinimumBandwidthTimer		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
No	Vacations_VerifyHBBStatsNotPresentOnComfortSettings		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=Test2,LOCATION1_DEVICE1_NAME=Jasper,HBDeviceId=HB 1456'"
	Vacations_VerifyHBBStatsNotPresentOnComfortSettings		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=Test2,LOCATION1_DEVICE1_NAME=Jasper,HBDeviceId=HB 1456'"
No	Vacation_TimerValueIncreamentOf15EMEA		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=Test2,LOCATION1_DEVICE1_NAME=Jasper,DeviceType=EMEA'"
	Vacation_TimerValueIncreamentOf15EMEA		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=Test2,LOCATION1_DEVICE1_NAME=Jasper,DeviceType=EMEA'"
No	Vacation_TimerValueIncreamentOf10NA		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=Test2,LOCATION1_DEVICE1_NAME=Jasper,DeviceType=NA'"
	Vacation_TimerValueIncreamentOf10NA		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=Test2,LOCATION1_DEVICE1_NAME=Jasper,DeviceType=NA'"
No	Vacations_VactionStatusOnDashabord		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
	Vacations_VactionStatusOnDashabord		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
No	Vacation_WhenScheduleEnables		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
	Vacation_WhenScheduleEnables		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
No	Vacation_EditSetPoint		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
	Vacation_EditSetPoint		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
No	Vacation_Enable/DisbaleIndividulaStat		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
	Vacation_Enable/DisbaleIndividulaStat		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
No	Vacation_EditSetPointsFromPrimaryCard		Android-Device-Android-6.0.1	Lenovo X3a40	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
	Vacation_EditSetPointsFromPrimaryCard		IOS-Device-IOS-10.3	1c5ecb20c2c04a5d80fe7ef67d719893472fa222	Local	Production	"AcquisitionType=Specific, TestData='USERID=chilprod@grr.la,PASSWORD=Password1,PASSCODE=6390,LOCATION1_NAME=pibq4ucgh3zb1jdhpoot55,LOCATION1_DEVICE1_NAME=DAS 180804044522'"
