Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	GeneralExcludeZwaveSwitch		IOS-Device-IOS-11.3	f924c7f086c144a2905ca90f19dd68c120f14257	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	DimmerExcludeFromAddDevice		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	AddNewDeviceInclusionNoDeviceFound		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	AddNewDeviceIncludeZwaveSwitch		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	DeviceFoundAfterExclude		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	ToggleZwaveSwitchThroughPrimaryCard		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	StatusChangeOfSwitchFromSettings		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	OfflineZwaveSwitchFromSettings		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	ZwaveSwitchRename		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
	GeneralExcludeSwitchOnNoDeviceFound		Android-Device-Android-6.11	Sony	Local	CHILDas(QA)	"AcquisitionType=Specific, TestData='USERID=autodas_qa2@grr.la,PASSWORD=Password1,PASSCODE=1245,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Security,LOCATION1_CAMERA1_NAME=Living Room,LOCATION1_DIMMER1_NAME=Dimmer1,LOCATION1_SWITCH1_NAME=Switch1'"
